카테고리,제주특별자치도,제주특별자치도 제주시,제주특별자치도 서귀포시
2020년02월_계_총인구수,"670,876","489,456","181,420"
2020년02월_계_연령구간인구수,"670,876","489,456","181,420"
2020년02월_계_0~9세,"62,086","47,089","14,997"
2020년02월_계_10~19세,"71,539","54,041","17,498"
2020년02월_계_20~29세,"81,968","62,586","19,382"
2020년02월_계_30~39세,"84,145","63,796","20,349"
2020년02월_계_40~49세,"113,076","83,282","29,794"
2020년02월_계_50~59세,"111,221","79,710","31,511"
2020년02월_계_60~69세,"75,172","51,753","23,419"
2020년02월_계_70~79세,"44,621","29,377","15,244"
2020년02월_계_80~89세,"22,963","15,019","7,944"
2020년02월_계_90~99세,"3,819","2,636","1,183"
2020년02월_계_100세 이상,266,167,99
2020년02월_남_총인구수,"337,295","245,546","91,749"
2020년02월_남_연령구간인구수,"337,295","245,546","91,749"
2020년02월_남_0~9세,"31,903","24,229","7,674"
2020년02월_남_10~19세,"37,424","28,288","9,136"
2020년02월_남_20~29세,"43,389","33,033","10,356"
2020년02월_남_30~39세,"42,697","32,398","10,299"
2020년02월_남_40~49세,"58,541","42,424","16,117"
2020년02월_남_50~59세,"57,889","41,087","16,802"
2020년02월_남_60~69세,"37,203","25,554","11,649"
2020년02월_남_70~79세,"20,135","13,221","6,914"
2020년02월_남_80~89세,"7,530","4,923","2,607"
2020년02월_남_90~99세,550,366,184
2020년02월_남_100세 이상,34,23,11
2020년02월_여_총인구수,"333,581","243,910","89,671"
2020년02월_여_연령구간인구수,"333,581","243,910","89,671"
2020년02월_여_0~9세,"30,183","22,860","7,323"
2020년02월_여_10~19세,"34,115","25,753","8,362"
2020년02월_여_20~29세,"38,579","29,553","9,026"
2020년02월_여_30~39세,"41,448","31,398","10,050"
2020년02월_여_40~49세,"54,535","40,858","13,677"
2020년02월_여_50~59세,"53,332","38,623","14,709"
2020년02월_여_60~69세,"37,969","26,199","11,770"
2020년02월_여_70~79세,"24,486","16,156","8,330"
2020년02월_여_80~89세,"15,433","10,096","5,337"
2020년02월_여_90~99세,"3,269","2,270",999
2020년02월_여_100세 이상,232,144,88
